Time hours,Time minutes,Broth,OD reading,CFU/mL,log(CFU/mL)
1.33,80,TS,0.064,1.43E+04,4.156
1.33,80,TS,0.08,1.66E+04,4.22
1.50,90,TS,0.104,2.07E+04,4.316
1.50,90,TS,0.074,1.57E+04,4.196
1.50,90,TS,0.11,2.19E+04,4.34
1.67,100,TS,0.094,1.89E+04,4.276
1.67,100,TS,0.113,2.25E+04,4.352
1.67,100,TS,0.177,4.06E+04,4.608
1.83,110,TS,0.113,2.25E+04,4.352
1.83,110,TS,0.157,3.37E+04,4.528
1.83,110,TS,0.24,7.24E+04,4.86
2.00,120,TS,0.131,2.65E+04,4.424
2.00,120,TS,0.174,3.94E+04,4.596
2.00,120,TS,0.282,1.07E+05,5.028
2.17,130,TS,0.154,3.28E+04,4.516
2.17,130,TS,0.216,5.81E+04,4.764
2.17,130,TS,0.308,1.36E+05,5.132
2.33,140,TS,0.195,4.79E+04,4.68
2.33,140,TS,0.34,1.82E+05,5.26
2.33,140,TS,0.343,1.87E+05,5.272
2.50,150,TS,0.221,6.08E+04,4.784
2.50,150,TS,0.399,3.13E+05,5.496
2.50,150,TS,0.384,2.73E+05,5.436
2.67,160,TS,0.282,1.07E+05,5.028
2.67,160,TS,0.459,5.45E+05,5.736
2.67,160,TS,0.495,7.59E+05,5.88
2.83,170,TS,0.325,1.58E+05,5.2
2.83,170,TS,0.513,8.95E+05,5.952
2.83,170,TS,0.555,1.32E+06,6.12
3.00,180,TS,0.349,1.98E+05,5.296
3.00,180,TS,0.655,3.31E+06,6.52
3.00,180,TS,0.575,1.58E+06,6.2
3.17,190,TS,0.434,4.33E+05,5.636
3.17,190,TS,0.716,5.81E+06,6.764
3.17,190,TS,0.708,5.40E+06,6.732
3.33,200,TS,0.469,5.97E+05,5.776
3.33,200,TS,0.717,5.86E+06,6.768
3.33,200,TS,0.743,7.45E+06,6.872
3.50,210,TS,0.494,7.52E+05,5.876
3.50,210,TS,0.758,8.55E+06,6.932
3.50,210,TS,0.78,1.05E+07,7.02
3.67,220,TS,0.65,3.16E+06,6.5
3.67,220,TS,0.892,2.94E+07,7.468
3.67,220,TS,0.836,1.75E+07,7.244
3.83,230,TS,0.756,8.39E+06,6.924
3.83,230,TS,0.958,5.40E+07,7.732
3.83,230,TS,0.845,1.91E+07,7.28
4.00,240,TS,0.818,1.49E+07,7.172
4.00,240,TS,0.986,6.98E+07,7.844
4.00,240,TS,0.918,3.73E+07,7.572
4.17,250,TS,0.947,4.88E+07,7.688
4.17,250,TS,1.051,1.27E+08,8.104
4.17,250,TS,0.958,5.40E+07,7.732
4.33,260,TS,1.034,1.09E+08,8.036
4.33,260,TS,1.134,2.73E+08,8.436
4.33,260,TS,1.063,1.42E+08,8.152
4.50,270,TS,1.157,3.37E+08,8.528
4.50,270,TS,1.162,3.53E+08,8.548
4.50,270,TS,1.07,1.51E+08,8.18
4.67,280,TS,1.154,3.28E+08,8.516
4.67,280,TS,1.23,6.61E+08,8.82
4.67,280,TS,1.181,4.21E+08,8.624
4.83,290,TS,1.208,5.40E+08,8.732
4.83,290,TS,1.273,9.82E+08,8.992
4.83,290,TS,1.213,5.65E+08,8.752
5.00,300,TS,1.278,1.03E+09,9.012
5.00,300,TS,1.337,1.77E+09,9.248
5.00,300,TS,1.318,1.49E+09,9.172
5.17,310,TS,1.307,1.34E+09,9.128
5.17,310,TS,1.372,2.44E+09,9.388
5.17,310,TS,1.368,2.36E+09,9.372
5.33,320,TS,1.397,3.08E+09,9.488
5.33,320,TS,1.43,4.17E+09,9.62
5.33,320,TS,1.417,3.70E+09,9.568
5.50,330,TS,1.456,5.30E+09,9.724
5.50,330,TS,1.46,5.50E+09,9.74
5.50,330,TS,1.434,4.33E+09,9.636
5.67,340,TS,1.495,7.59E+09,9.88
5.67,340,TS,1.507,8.47E+09,9.928
5.67,340,TS,1.488,7.11E+09,9.852
5.83,350,TS,1.548,1.24E+10,10.092
5.83,350,TS,1.541,1.16E+10,10.064
5.83,350,TS,1.53,1.05E+10,10.02
6.00,360,TS,1.586,1.75E+10,10.244
6.00,360,TS,1.586,1.75E+10,10.244
6.00,360,TS,1.569,1.50E+10,10.176
6.17,370,TS,1.62,2.40E+10,10.38
6.17,370,TS,1.626,2.54E+10,10.404
6.17,370,TS,1.593,1.87E+10,10.272
6.33,380,TS,1.652,3.22E+10,10.508
6.33,380,TS,1.656,3.34E+10,10.524
6.33,380,TS,1.652,3.22E+10,10.508
6.50,390,TS,1.71,5.50E+10,10.74
6.50,390,TS,1.687,4.45E+10,10.648
6.50,390,TS,1.679,4.13E+10,10.616
6.67,400,TS,1.704,5.20E+10,10.716
6.67,400,TS,1.701,5.06E+10,10.704
6.67,400,TS,1.699,4.97E+10,10.696
6.83,410,TS,1.746,7.66E+10,10.884
6.83,410,TS,1.73,6.61E+10,10.82
6.83,410,TS,1.724,6.25E+10,10.796
7.00,420,TS,1.766,9.20E+10,10.964
7.00,420,TS,1.734,6.85E+10,10.836
7.00,420,TS,1.719,5.97E+10,10.776
7.17,430,TS,1.795,1.20E+11,11.08
7.17,430,TS,1.778,1.03E+11,11.012
7.17,430,TS,1.766,9.20E+10,10.964
7.33,440,TS,1.803,1.29E+11,11.112
7.33,440,TS,1.78,1.05E+11,11.02
7.33,440,TS,1.779,1.04E+11,11.016
7.50,450,TS,1.852,2.03E+11,11.308
7.50,450,TS,1.824,1.57E+11,11.196
7.50,450,TS,1.82,1.51E+11,11.18
7.67,460,TS,1.863,2.25E+11,11.352
7.67,460,TS,1.82,1.51E+11,11.18
7.67,460,TS,1.819,1.50E+11,11.176
7.83,470,TS,1.88,2.63E+11,11.42
7.83,470,TS,1.843,1.87E+11,11.272
7.83,470,TS,1.851,2.01E+11,11.304
8.00,480,TS,1.902,3.22E+11,11.508
8.00,480,TS,1.861,2.21E+11,11.344
8.00,480,TS,1.868,2.36E+11,11.372
8.17,490,TS,1.922,3.87E+11,11.588
8.17,490,TS,1.876,2.54E+11,11.404
8.17,490,TS,1.874,2.49E+11,11.396
8.33,500,TS,1.914,3.60E+11,11.556
8.33,500,TS,1.849,1.98E+11,11.296
8.33,500,TS,1.834,1.72E+11,11.236
8.50,510,TS,1.95,5.01E+11,11.7
8.50,510,TS,1.889,2.86E+11,11.456
8.50,510,TS,1.877,2.56E+11,11.408
8.67,520,TS,1.977,6.43E+11,11.808
8.67,520,TS,1.9,3.16E+11,11.5
8.67,520,TS,1.882,2.68E+11,11.428
8.83,530,TS,1.975,6.31E+11,11.8
8.83,530,TS,1.901,3.19E+11,11.504
8.83,530,TS,1.899,3.13E+11,11.496
9.00,540,TS,2.008,8.55E+11,11.932
9.00,540,TS,1.923,3.91E+11,11.592
9.00,540,TS,1.91,3.47E+11,11.54
9.17,550,TS,1.991,7.31E+11,11.864
9.17,550,TS,1.919,3.77E+11,11.576
9.17,550,TS,1.912,3.53E+11,11.548
9.33,560,TS,2.04,1.15E+12,12.06
9.33,560,TS,1.949,4.97E+11,11.696
9.33,560,TS,1.942,4.66E+11,11.668
9.50,570,TS,2.041,1.16E+12,12.064
9.50,570,TS,1.945,4.79E+11,11.68
9.50,570,TS,1.945,4.79E+11,11.68
9.67,580,TS,2.059,1.37E+12,12.136
9.67,580,TS,1.956,5.30E+11,11.724
9.67,580,TS,1.954,5.20E+11,11.716
9.83,590,TS,2.062,1.41E+12,12.148
9.83,590,TS,1.962,5.60E+11,11.748
9.83,590,TS,1.955,5.25E+11,11.72
10.00,600,TS,2.087,1.77E+12,12.248
10.00,600,TS,1.98,6.61E+11,11.82
10.00,600,TS,1.962,5.60E+11,11.748
10.17,610,TS,2.053,1.29E+12,12.112
10.17,610,TS,1.959,5.45E+11,11.736
10.17,610,TS,1.948,4.92E+11,11.692
10.33,620,TS,2.115,2.29E+12,12.36
10.33,620,TS,1.993,7.45E+11,11.872
10.33,620,TS,1.986,6.98E+11,11.844
10.50,630,TS,2.102,2.03E+12,12.308
10.50,630,TS,1.996,7.66E+11,11.884
10.50,630,TS,1.989,7.18E+11,11.856
10.67,640,TS,2.143,2.96E+12,12.472
10.67,640,TS,2.005,8.32E+11,11.92
10.67,640,TS,1.999,7.87E+11,11.896
10.83,650,TS,2.158,3.40E+12,12.532
10.83,650,TS,2.004,8.24E+11,11.916
10.83,650,TS,2.005,8.32E+11,11.92
11.00,660,TS,2.152,3.22E+12,12.508
11.00,660,TS,2.022,9.73E+11,11.988
11.00,660,TS,2.008,8.55E+11,11.932
11.17,670,TS,2.175,3.98E+12,12.6
11.17,670,TS,2.024,9.91E+11,11.996
11.17,670,TS,2.028,1.03E+12,12.012
11.33,680,TS,2.208,5.40E+12,12.732
11.33,680,TS,2.057,1.34E+12,12.128
11.33,680,TS,2.054,1.31E+12,12.116
11.50,690,TS,2.224,6.25E+12,12.796
11.50,690,TS,2.064,1.43E+12,12.156
11.50,690,TS,2.063,1.42E+12,12.152
11.67,700,TS,2.184,4.33E+12,12.636
11.67,700,TS,2.053,1.29E+12,12.112
11.67,700,TS,2.043,1.18E+12,12.072
11.83,710,TS,2.162,3.53E+12,12.548
11.83,710,TS,2.053,1.29E+12,12.112
11.83,710,TS,2.044,1.19E+12,12.076
12.00,720,TS,2.217,5.86E+12,12.768
12.00,720,TS,2.064,1.43E+12,12.156
12.00,720,TS,2.064,1.43E+12,12.156
12.17,730,TS,2.232,6.73E+12,12.828
12.17,730,TS,2.084,1.72E+12,12.236
12.17,730,TS,2.076,1.60E+12,12.204
12.33,740,TS,2.248,7.80E+12,12.892
12.33,740,TS,2.1,2.00E+12,12.3
12.33,740,TS,2.086,1.75E+12,12.244
12.50,750,TS,2.253,8.17E+12,12.912
12.50,750,TS,2.11,2.19E+12,12.34
12.50,750,TS,2.109,2.17E+12,12.336
12.67,760,TS,2.201,5.06E+12,12.704
12.67,760,TS,2.084,1.72E+12,12.236
12.67,760,TS,2.07,1.51E+12,12.18
12.83,770,TS,2.231,6.67E+12,12.824
12.83,770,TS,2.102,2.03E+12,12.308
12.83,770,TS,2.091,1.84E+12,12.264
13.00,780,TS,2.252,8.09E+12,12.908
13.00,780,TS,2.108,2.15E+12,12.332
13.00,780,TS,2.107,2.13E+12,12.328
13.17,790,TS,2.265,9.12E+12,12.96
13.17,790,TS,2.123,2.47E+12,12.392
13.17,790,TS,2.1,2.00E+12,12.3
13.33,800,TS,2.263,8.95E+12,12.952
13.33,800,TS,2.134,2.73E+12,12.436
13.33,800,TS,2.12,2.40E+12,12.38
13.50,810,TS,2.248,7.80E+12,12.892
13.50,810,TS,2.128,2.58E+12,12.412
13.50,810,TS,2.106,2.11E+12,12.324
13.67,820,TS,2.271,9.64E+12,12.984
13.67,820,TS,2.126,2.54E+12,12.404
13.67,820,TS,2.122,2.44E+12,12.388
13.83,830,TS,2.268,9.38E+12,12.972
13.83,830,TS,2.121,2.42E+12,12.384
13.83,830,TS,2.12,2.40E+12,12.38
14.00,840,TS,2.297,1.22E+13,13.088
14.00,840,TS,2.136,2.78E+12,12.444
14.00,840,TS,2.128,2.58E+12,12.412
14.17,850,TS,2.266,9.20E+12,12.964
14.17,850,TS,2.117,2.33E+12,12.368
14.17,850,TS,2.109,2.17E+12,12.336
14.33,860,TS,2.308,1.36E+13,13.132
14.33,860,TS,2.148,3.10E+12,12.492
14.33,860,TS,2.139,2.86E+12,12.456
14.50,870,TS,2.305,1.32E+13,13.12
14.50,870,TS,2.131,2.65E+12,12.424
14.50,870,TS,2.131,2.65E+12,12.424
14.67,880,TS,2.289,1.14E+13,13.056
14.67,880,TS,2.128,2.58E+12,12.412
14.67,880,TS,2.118,2.36E+12,12.372
14.83,890,TS,2.316,1.46E+13,13.164
14.83,890,TS,2.15,3.16E+12,12.5
14.83,890,TS,2.15,3.16E+12,12.5
15.00,900,TS,2.323,1.56E+13,13.192
15.00,900,TS,2.159,3.44E+12,12.536
15.00,900,TS,2.153,3.25E+12,12.512
15.17,910,TS,2.327,1.61E+13,13.208
15.17,910,TS,2.153,3.25E+12,12.512
15.17,910,TS,2.149,3.13E+12,12.496
15.33,920,TS,2.328,1.63E+13,13.212
15.33,920,TS,2.161,3.50E+12,12.544
15.33,920,TS,2.141,2.91E+12,12.464
15.50,930,TS,2.31,1.38E+13,13.14
15.50,930,TS,2.152,3.22E+12,12.508
15.50,930,TS,2.153,3.25E+12,12.512
15.67,940,TS,2.334,1.72E+13,13.236
15.67,940,TS,2.171,3.84E+12,12.584
15.67,940,TS,2.162,3.53E+12,12.548
15.83,950,TS,2.311,1.39E+13,13.144
15.83,950,TS,2.168,3.73E+12,12.572
15.83,950,TS,2.161,3.50E+12,12.544
16.00,960,TS,2.282,1.07E+13,13.028
16.00,960,TS,2.145,3.02E+12,12.48
16.00,960,TS,2.139,2.86E+12,12.456
16.17,970,TS,2.302,1.28E+13,13.108
16.17,970,TS,2.162,3.53E+12,12.548
16.17,970,TS,2.147,3.08E+12,12.488
16.33,980,TS,2.319,1.50E+13,13.176
16.33,980,TS,2.186,4.41E+12,12.644
16.33,980,TS,2.172,3.87E+12,12.588
16.50,990,TS,2.329,1.64E+13,13.216
16.50,990,TS,2.176,4.02E+12,12.604
16.50,990,TS,2.174,3.94E+12,12.596
16.67,1000,TS,2.384,2.73E+13,13.436
16.67,1000,TS,2.205,5.25E+12,12.72
16.67,1000,TS,2.199,4.97E+12,12.696
